Gender,Percentile,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79
Men,0.1,33472.84,33856.97,34683.928,34487.372,35225.734,36519.172,37819.004,36647.377,39611.02,42143.77,48061.424,45280.79
Men,0.2,31222.32,31933.08,32307.16,31930.58,32589.572,34027.5,35289.202,35624.876,37952.192,38978.512,44827.176,43645.468
Men,0.3,29790.375,30235.815,30969.344,30431.466,31262.312,32378.64,33260.11,34396.683,36115.272,37926.064,41579.224,42027.702
Men,0.4,29052.4,29017.98,29959.632,29497,30373.688,30973.408,32111.024,33117.404,35080.04,36551.48,40238.832,40748.44
Men,0.5,28319.475,28049.85,29171.06,28747.16,29571.1,30057.82,31233.195,32599.73,34394.64,35797.89,39738.32,40328.8
Men,0.6,27471.13,27448.58,28489.808,28189.896,29023.616,29196.528,30622.76,31595.836,33748.044,35104.708,39268.96,39959.776
Men,0.7,26999.59,26792.93,27840.712,27815.604,28524.414,28719,30001.29,30988.852,33265.54,34307.186,38941.064,39659.572
Men,0.8,26571.52,26308.88,27316.48,27260.848,27975.448,28265.6,29327.776,30541.872,32939.368,34081.904,38449.624,39036.52
Men,0.9,26264.21,25955.465,26822,26857.518,27530.06,27826.91,29033.181,30153.426,32412.908,33970.096,37671.352,38164.96
Men,1,25954.5,25694.2,26491.24,26585.38,27085.04,27458.84,28724.49,29871.4,32047.22,33731.76,37398.2,37616.4
Men,1.1,25693.435,25397.21,26203,26309,26807.222,27094.184,28337.512,29498.269,31579.088,33514.092,36875.768,37202.14
Men,1.2,25396.4,25161.94,25798.264,26017.168,26548.424,26713.408,27911.208,29234.316,31349.264,33276.456,36492.112,36755.048
Men,1.3,25176.715,24962,25594,25801.554,26354.802,26506.124,27531.077,28811.282,31122.532,33088.93,36095.64,36302.052
Men,1.4,24907.53,24805.85,25389.712,25601.756,26101.932,26229.744,27199.716,28621.99,30805.44,32933.128,35863.872,36280.508
