Gender,Age Group,2020BQ,2026BQ,Age
Men,30-34,3:00:00,2:55:00,30
Men,35-39,3:05:00,3:00:00,35
Men,40-44,3:05:52,3:00:59,40
Men,45-49,3:07:27,3:02:46,45
Men,50-54,3:03:44,2:59:15,50
Men,55-59,3:03:53,2:59:36,55
Men,60-64,3:07:17,3:07:17,60
Men,65-69,3:09:27,3:09:27,65
Men,70-74,3:10:23,3:10:23,70
Men,75-79,3:08:34,3:08:34,75
Men,80 and Over,3:04:28,3:04:28,80
Women,30-34,3:29:38,3:24:39,30
Women,35-39,3:32:23,3:27:27,35
Women,40-44,3:32:57,3:28:07,40
Women,45-49,3:35:52,3:31:11,45
Women,50-54,3:31:27,3:26:57,50
Women,55-59,3:28:37,3:24:21,55
Women,60-64,3:27:05,3:27:05,60
Women,65-69,3:23:49,3:23:49,65
Women,70-74,3:18:54,3:18:54,70
Women,75-79,3:11:50,3:11:50,75
Women,80 and Over,3:03:02,3:03:02,80
